episode,reward
1,35.312935
2,81.874146
3,63.42429
4,25.979393
5,35.646606
6,34.887974
7,72.649574
8,72.52614
9,44.389557
10,62.78128
11,54.01311
12,35.055897
13,44.403595
14,25.979376
15,35.177387
16,35.481903
17,34.92219
18,35.552155
19,44.47256
20,54.138374
21,72.86236
22,35.391045
23,44.44754
24,34.80135
25,63.76278
26,35.155106
27,53.807068
28,26.145227
29,35.259388
30,44.566113
31,81.469086
32,53.54712
33,63.020447
34,72.257355
35,35.170612
36,44.554234
37,44.218353
38,53.754875
39,63.294266
40,63.23927
